Timestamp: 7-3-2024 13:43:00, x: 0, y: 0, z: 0, rx: 0, ry: 0, rz: 0, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,538741, y: 0,8860623, z: 0,1351745, rx: 33,59907, ry: 182,789, rz: 167,9296, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,538404, y: 0,8860538, z: 0,1350817, rx: 33,63603, ry: 182,8435, rz: 168,094, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5363027, y: 0,8859386, z: 0,1364669, rx: 33,69081, ry: 182,0059, rz: 168,5342, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5353069, y: 0,8859981, z: 0,1353467, rx: 34,04596, ry: 181,6319, rz: 168,8658, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5339454, y: 0,8860508, z: 0,1357438, rx: 34,19579, ry: 181,2648, rz: 169,3428, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5330417, y: 0,8855457, z: 0,1367374, rx: 34,26233, ry: 181,0134, rz: 169,934, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5327219, y: 0,8853309, z: 0,1375845, rx: 34,31811, ry: 180,5534, rz: 170,1201, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5322128, y: 0,885748, z: 0,1357165, rx: 34,7945, ry: 180,2839, rz: 170,6222, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5317284, y: 0,8850393, z: 0,1375149, rx: 34,47268, ry: 180,2821, rz: 171,2941, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5317463, y: 0,8843793, z: 0,1377325, rx: 34,49641, ry: 180,0229, rz: 171,7134, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5323786, y: 0,8851237, z: 0,1362484, rx: 34,87983, ry: 179,909, rz: 171,7892, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5315371, y: 0,88485, z: 0,1369391, rx: 34,8769, ry: 179,9304, rz: 171,8097, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5314329, y: 0,8848888, z: 0,1368161, rx: 34,76299, ry: 180,1909, rz: 171,8375, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5311963, y: 0,8848839, z: 0,1366329, rx: 34,74855, ry: 180,3673, rz: 171,8752, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5310792, y: 0,8849359, z: 0,1364214, rx: 34,82693, ry: 180,3909, rz: 171,7855, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5314621, y: 0,8850129, z: 0,1364178, rx: 34,7596, ry: 180,192, rz: 171,2992, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5317577, y: 0,8851162, z: 0,1364129, rx: 34,69004, ry: 180,2008, rz: 171,0669, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5319353, y: 0,8851095, z: 0,1365301, rx: 34,63788, ry: 179,9967, rz: 170,9946, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5319129, y: 0,8851178, z: 0,1365213, rx: 34,63104, ry: 180,1071, rz: 171,0493, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5316746, y: 0,8850931, z: 0,136382, rx: 34,73304, ry: 180,2944, rz: 171,2466, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5315194, y: 0,8850645, z: 0,136327, rx: 34,72684, ry: 180,2662, rz: 171,3086, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:43:01, x: -0,5314483, y: 0,8850654, z: 0,136188, rx: 34,88307, ry: 180,1627, rz: 171,4105, instruction ID: 0, Game state: waiting for user to recenter
