Instruction ID; goal; goal x-position; goal y-position; farthest reached x; farthest reached y; overshoot (percentage); time to reach goal; trial contains deviation; deviation goal; deviation goal x; deviation goal y
1;Devation goal -3;-0,1696292;1,138605;-0,1635528;1,153766;0,9340298;2,619328;True;Devation goal -4;-0,2100083;1,120801
2;Devation goal 4;0,2142214;1,116815;0,205372;1,1125;0,9765062;2,785583;False;;;
3;Devation goal 3;0,1715673;1,133251;0,1733459;1,135399;1,006414;1,753948;True;Devation goal 2;0,132629;1,147996
4;Devation goal -4;-0,2083932;1,117712;-0,2313001;1,11696;1,086569;3,267298;False;;;
5;Devation goal 2;0,132629;1,147997;0,1482071;1,143642;1,128087;0,9107227;False;;;
6;Devation goal -1;-0,08470424;1,166337;-0,09409549;1,158247;1,109101;0,8028526;False;;;
7;Devation goal 1;0,09039889;1,166337;0,07895211;1,160508;0,8922337;1,62923;True;Devation goal 2;0,1326291;1,147998
8;Devation goal 2;0,1326291;1,147999;0,1169317;1,156035;0,878202;1,751953;True;Devation goal 3;0,1715673;1,133251
9;Devation goal -4;-0,2083932;1,117712;-0,2072059;1,120251;0,9837765;3,354897;False;;;
10;Devation goal 2;0,1326291;1,148;0,1361962;1,148352;1,031775;1,545422;True;Devation goal 1;0,09039889;1,166337
11;Devation goal 4;0,2125739;1,113756;0,2124219;1,112222;1,005478;0,962162;False;;;
12;Devation goal -2;-0,1288222;1,148511;-0,1344844;1,148182;1,043645;1,670418;True;Devation goal -1;-0,08470424;1,166337
13;Devation goal -4;-0,2083932;1,117712;-0,2131219;1,117724;1,013063;1,099995;False;;;
14;Devation goal 4;0,2125739;1,113756;0,1957527;1,108445;0,9455307;1,517578;True;Devation goal 3;0,1715673;1,133251
15;Devation goal 1;0,09039889;1,166337;0,1080059;1,154376;1,226089;1,073505;False;;;
16;Devation goal 3;0,1715673;1,133251;0,1717882;1,132101;1,005445;1,434139;True;Devation goal 2;0,132629;1,148001
17;Devation goal 1;0,09039889;1,166337;0,0952052;1,156965;1,079286;0,6355324;False;;;
18;Devation goal 3;0,1715673;1,133251;0,1701984;1,131716;0,9979009;1,420036;True;Devation goal 4;0,2125739;1,113756
19;Devation goal -2;-0,1288222;1,148511;-0,128683;1,151474;0,9939764;1,217163;False;;;
20;Devation goal -1;-0,08470424;1,166337;-0,07852175;1,159797;0,9264994;1,133873;False;;;
21;Devation goal 1;0,09039889;1,166337;0,09224866;1,15714;1,046331;0,9574203;False;;;
22;Devation goal -3;-0,1683246;1,135378;-0,1724518;1,14085;1,007391;1,204201;False;;;
23;Devation goal 1;0,09039889;1,166337;0,07837395;1,16083;0,8852;1,587097;True;Devation goal 2;0,132629;1,148001
24;Devation goal -1;-0,08470424;1,166337;-0,07427336;1,158793;0,8792911;0,9118881;False;;;
25;Devation goal 3;0,1715673;1,133251;0,1705368;1,133845;0,9950619;3,351166;False;;;
