Instruction ID; goal; goal x-position; goal y-position; farthest reached x; farthest reached y; overshoot; time to reach goal; trial contains deviation; deviation goal; deviation goal x; deviation goal y
1;Devation goal 2;0,1223156;1,114647;0,1299648;1,119089;1,05557;1,035824;False;;;
2;Devation goal -1;-0,07811555;1,131549;-0,07365816;1,126802;0,9408605;1,100863;False;;;
3;Devation goal 2;0,1223607;1,114827;0,2173246;1,089949;1,780954;24,81885;False;;;
4;Devation goal -1;-0,07811555;1,131549;-0,08633557;1,125828;1,101804;0,9719276;False;;;
5;Devation goal 2;0,1223686;1,114859;0,129239;1,120453;1,048564;1,019646;False;;;
6;Devation goal -4;-0,1921835;1,086706;-0,1988601;1,089122;1,017825;1,132915;False;;;
7;Devation goal 2;0,1223759;1,114888;0,1186481;1,122879;0,9600585;1,033066;False;;;
8;Devation goal -4;-0,1921835;1,086706;-0,1927797;1,091678;0,9916771;1,124863;False;;;
9;Devation goal -2;-0,1188018;1,115109;-0,1176373;1,117078;0,9922889;1,156513;False;;;
10;Devation goal 2;0,1223908;1,114947;0,1248787;1,11804;1,022595;1,152046;False;;;
11;Devation goal -1;-0,07811555;1,131549;-0,07499826;1,123059;0,9659113;1,3312;False;;;
12;Devation goal -3;-0,1552316;1,102998;-0,1566605;1,104154;1,004432;1,151825;False;;;
13;Devation goal -2;-0,1188018;1,115109;-0,1137951;1,116932;0,9597789;1,410812;False;;;
14;Devation goal 3;0,1582137;1,101036;0,1385279;1,113773;0,8620515;1,199661;False;;;
15;Devation goal -1;-0,07811555;1,131549;-0,08236011;1,125143;1,051651;0,9356155;False;;;
16;Devation goal -4;-0,1921835;1,086706;-0,1901284;1,092734;0,9794673;1,156876;False;;;
17;Devation goal -1;-0,07811555;1,131549;-0,08396848;1,124135;1,074803;0,8734894;False;;;
18;Devation goal 1;0,08336726;1,131549;0,06648069;1,128906;0,8114902;1,040131;False;;;
19;Devation goal 2;0,1224255;1,115086;0,1253968;1,118754;1,023538;1,044754;False;;;
20;Devation goal 3;0,1582137;1,101036;0,1657124;1,108179;1,027045;1,150009;False;;;
21;Devation goal 1;0,08336726;1,131549;0,1081154;1,122149;1,334638;1,171852;False;;;
22;Devation goal -2;-0,1188018;1,115109;-0,1003033;1,120852;0,8418965;1,438728;False;;;
23;Devation goal 4;0,196039;1,083058;0,2015433;1,087165;1,01685;1,18013;False;;;
24;Devation goal -2;-0,1188018;1,115109;-0,1211201;1,117269;1,014722;1,283203;False;;;
25;Devation goal 4;0,196039;1,083058;0,1880987;1,093755;0,9445576;1,665573;False;;;
27;Devation goal 3;0,1582137;1,101036;0,175091;1,102063;1,094223;1,126816;False;;;
